,X_CCF,Y_CCF,Z_CCF
263,-33518.56382843106,-59894.244367779815,-1154511.2496865247
264,-33509.11996857947,-59903.82327976724,-1160208.242088469
265,-33496.3687165188,-59911.91143228784,-1165895.0762289916
266,-33496.38304987082,-59919.68524125893,-1171636.5530751795
267,-33488.04575434352,-59926.33842444739,-1177346.8801273983
268,-33473.4799939026,-59930.59040768908,-1183033.45936006
269,-33861.3632741985,-60070.29518378227,-1190465.7160429293
270,-33459.01614297133,-59940.523854800675,-1194474.7621184164
271,-33440.58797563225,-59939.45890886208,-1200147.1106111696
272,-33430.31135333444,-59941.04650091109,-1205857.2628873428
273,-33417.44756129247,-59940.23416130277,-1211555.1028778004
274,-33409.75152293657,-59942.13006585669,-1217280.6518578255
275,-33400.13285157861,-59942.220498739225,-1222997.5007401232
276,-33390.36811200065,-59941.64619346924,-1228714.6322028206
277,-33615.5875671032,-60189.55294213792,-1236082.7013670919
278,-33363.73872550879,-59930.37520851854,-1240096.616360048
279,-33353.23862676264,-59926.03161579916,-1245803.258778141
280,-33346.34005249109,-59926.119437029156,-1251542.3650221988
281,-33335.61290950881,-59919.746208229764,-1257243.4966772231
282,-33325.58248111095,-59913.11192030436,-1262946.2089244933
283,-33315.78159602679,-59905.17048085333,-1268643.0529327223
284,-33308.495768806744,-59902.33854340317,-1274377.381972131
285,-33299.97604884554,-59894.475853713346,-1280080.000938341
286,-33292.79019085504,-59890.43507984495,-1285812.9061272496
287,-33285.11515329247,-59879.44170534123,-1291495.7871273744
288,-33278.57608354987,-59871.936095839206,-1297206.2710542788
289,-33272.225140068585,-59867.83684493389,-1302948.1933959706
290,-33266.79161265533,-59858.565482389204,-1308646.909138377
291,-33261.07681670715,-59852.93572518986,-1314381.7059136825
292,-33257.53816491159,-59842.46772282717,-1320066.981315385
293,-33254.55592720278,-59833.28935206905,-1325762.488220604
294,-33249.408555371025,-59828.45974817197,-1331513.7440719402
295,-33248.585016393146,-59818.64304199433,-1337195.1102490823
296,-33247.366375583435,-59810.63730638713,-1342897.195475116
297,-33244.58600318186,-59804.47155527724,-1348631.6086907948
298,-33243.72725499861,-59797.39641562921,-1354345.587514728
299,-33244.687161829104,-59790.09192579745,-1360043.3440646469
300,-33244.25473283594,-59783.86289921852,-1365766.914404252
301,-33246.15782559676,-59777.49163096462,-1371467.703956913
302,-33247.96093001569,-59771.70061016843,-1377176.4861026062
303,-33251.18824873603,-59766.35919894104,-1382873.843628658
304,-33256.10316893319,-59761.74232499122,-1388555.9126286737
305,-33257.13113812779,-59757.17067190238,-1394291.273418856
306,-33260.90524331614,-59753.33612704295,-1399997.2844282778
307,-33262.862665066874,-59749.30685505481,-1405731.4731312538
308,-33269.32645406119,-59747.16324833314,-1411410.3947213
309,-33270.90509117504,-59743.37636261531,-1417159.6402707545
310,-33276.610751958026,-59741.79752327989,-1422855.0481673856
311,-33283.16098441735,-59741.27587709494,-1428538.8372377043
312,-33285.90031808439,-59738.62403189679,-1434285.1484244629
313,-33291.15996944388,-59737.98603205595,-1439993.906981541
314,-33297.81166171501,-59739.02295517241,-1445677.2876370046
315,-33301.96040103352,-59738.162792534815,-1451409.292149821
316,-33307.78082915684,-59739.38282005616,-1457107.221934504
317,-33312.17851932533,-59739.3123832176,-1462838.4842214757
318,-33318.10468361167,-59741.70127289915,-1468528.64543924
319,-33323.09371735581,-59743.28926900952,-1474241.3121208414
320,-33327.99527650624,-59745.22538697302,-1479953.4744360766
321,-33332.88227972806,-59747.74590190562,-1485659.8161912533
322,-33337.26990026065,-59749.66278906403,-1491384.174270836
323,-33342.039601044606,-59753.680165574195,-1497069.2763000447
324,-33346.02469605211,-59755.77117968671,-1502800.4750754756
325,-33350.00292870933,-59758.89480847347,-1508513.59582224
326,-33353.7427651177,-59762.35604688809,-1514222.5109313338
327,-33357.23553560886,-59765.52077636939,-1519942.473206164
328,-33360.34244196916,-59769.68611773057,-1525638.2203886379
329,-33363.15010426197,-59773.54849375018,-1531343.0754351534
330,-33365.86810269981,-59776.84271712599,-1537067.402041313
331,-33367.899734369785,-59781.03644171808,-1542761.8539467396
332,-33369.87670097983,-59784.66947511182,-1548475.3723316782
333,-33371.75589549883,-59788.06792536923,-1554199.1391073272
334,-33372.69447228846,-59792.07269203093,-1559890.8521740222
335,-33373.68192987232,-59795.607404218084,-1565600.80184585
